# Date	real
07/13/26	154.0
07/13/26	154.6
07/13/26	156.2
07/13/26	156.3
07/13/26	154.8
07/13/26	154.3
07/13/26	155.8
07/13/26	155.3
07/13/26	155.5
07/13/26	154.0
07/16/26	152.7
07/16/26	153.3
07/16/26	154.1
07/16/26	152.0
07/16/26	153.3
07/16/26	152.9
07/16/26	153.9
07/16/26	152.7
07/16/26	154.6
07/16/26	153.7
07/17/26	151.4
07/17/26	152.6
07/17/26	151.8
07/17/26	151.3
07/17/26	152.7
07/17/26	151.6
07/17/26	151.9
07/17/26	152.3
07/17/26	150.9
07/17/26	155.5
07/21/26	153.3
07/21/26	153.1
07/21/26	152.1
07/21/26	153.2
07/21/26	153.5
07/21/26	151.2
07/21/26	152.7
07/21/26	155.0
07/21/26	153.3
07/21/26	152.9
07/23/26	153.6
07/23/26	154.3
07/23/26	153.6
07/23/26	153.0
07/23/26	156.0
07/24/26	155.2
07/24/26	153.4
07/24/26	155.0
07/24/26	153.8
07/24/26	154.4
