# Date	real
07/13/26	0.3792
07/13/26	0.3412
07/13/26	0.3261
07/13/26	0.3374
07/13/26	0.341
07/13/26	0.3393
07/13/26	0.3375
07/13/26	0.34
07/13/26	0.333
07/13/26	0.3421
07/16/26	0.3747
07/16/26	0.3275
07/16/26	0.3425
07/16/26	0.3386
07/16/26	0.3378
07/16/26	0.3283
07/16/26	0.3382
07/16/26	0.3305
07/16/26	0.325
07/16/26	0.3387
07/17/26	0.377
07/17/26	0.3488
07/17/26	0.3292
07/17/26	0.3435
07/17/26	0.3356
07/17/26	0.3429
07/17/26	0.3442
07/17/26	0.3219
07/17/26	0.3385
07/17/26	0.3272
07/21/26	0.3769
07/21/26	0.348
07/21/26	0.3421
07/21/26	0.3422
07/21/26	0.343
07/21/26	0.3426
07/21/26	0.3418
07/21/26	0.3276
07/21/26	0.3313
07/21/26	0.3216
07/24/26	0.3716
07/24/26	0.3335
07/24/26	0.3423
07/24/26	0.3315
07/24/26	0.3246
07/24/26	0.3468
07/24/26	0.341
07/24/26	0.3388
07/24/26	0.3289
07/24/26	0.3224
