# Date	real
07/13/26	27.08
07/13/26	23.35
07/13/26	27.61
07/13/26	21.78
07/13/26	26.63
07/13/26	26.74
07/13/26	24.12
07/13/26	21.36
07/13/26	22.31
07/13/26	23.46
07/16/26	23.23
07/16/26	22.9
07/16/26	21.47
07/16/26	24.24
07/16/26	21.62
07/16/26	21.59
07/16/26	21.69
07/16/26	22.07
07/16/26	20.84
07/16/26	27.32
07/17/26	21.87
07/17/26	26.81
07/17/26	28.32
07/17/26	32.36
07/17/26	26.43
07/17/26	28.55
07/17/26	21.61
07/17/26	23.47
07/17/26	23.44
07/17/26	25.5
07/21/26	27.59
07/21/26	27.67
07/21/26	27.74
07/21/26	27.7
07/21/26	25.84
07/21/26	23.58
07/21/26	27.14
07/21/26	21.23
07/21/26	28.41
07/21/26	21.58
07/24/26	21.91
07/24/26	27.58
07/24/26	25.71
07/24/26	24.5
07/24/26	22.37
07/24/26	27.47
07/24/26	23.73
07/24/26	28.42
07/24/26	27.71
07/24/26	21.45
