# Date	real
07/13/26	2.972
07/13/26	2.934
07/13/26	2.94
07/13/26	2.955
07/13/26	2.934
07/13/26	2.948
07/13/26	2.929
07/13/26	2.93
07/13/26	2.932
07/13/26	2.925
07/16/26	2.973
07/16/26	2.934
07/16/26	2.931
07/16/26	2.937
07/16/26	2.938
07/16/26	2.956
07/16/26	2.951
07/16/26	2.94
07/16/26	2.938
07/16/26	2.932
07/17/26	2.973
07/17/26	2.942
07/17/26	2.931
07/17/26	2.938
07/17/26	2.94
07/17/26	2.926
07/17/26	2.925
07/17/26	2.94
07/17/26	2.935
07/17/26	2.925
07/21/26	2.962
07/21/26	2.918
07/21/26	2.933
07/21/26	2.924
07/21/26	2.925
07/21/26	2.921
07/21/26	2.929
07/21/26	2.934
07/21/26	2.929
07/21/26	2.933
07/23/26	2.957
07/23/26	2.947
07/23/26	2.934
07/23/26	2.954
07/23/26	2.93
07/23/26	2.929
07/23/26	2.943
07/23/26	2.926
07/23/26	2.937
07/23/26	2.945
