# Date	real
07/13/26	10.98
07/13/26	10.93
07/13/26	10.95
07/13/26	10.97
07/13/26	10.95
07/13/26	10.96
07/13/26	10.97
07/13/26	10.96
07/13/26	10.93
07/13/26	10.96
07/16/26	10.97
07/16/26	10.96
07/16/26	10.95
07/16/26	10.96
07/16/26	10.96
07/16/26	10.96
07/16/26	10.97
07/16/26	10.96
07/16/26	10.96
07/16/26	10.95
07/17/26	10.98
07/17/26	10.96
07/17/26	10.97
07/17/26	10.97
07/17/26	10.96
07/17/26	10.97
07/17/26	10.98
07/17/26	10.97
07/17/26	10.97
07/17/26	10.98
07/23/26	10.99
07/23/26	10.96
07/23/26	10.96
07/23/26	10.96
07/23/26	10.96
07/23/26	10.94
07/23/26	10.95
07/23/26	10.95
07/23/26	10.94
07/23/26	10.96
