# Date	real
06/26/26	2.18
06/26/26	2.145
06/26/26	2.137
06/26/26	2.142
06/26/26	2.143
06/26/26	2.149
06/26/26	2.139
06/26/26	2.141
06/26/26	2.144
06/26/26	2.147
