# Date	real
05/15/26	38.65
05/15/26	39.25
05/15/26	39.68
05/15/26	40.21
05/15/26	40.26
05/15/26	39.36
05/15/26	39.23
05/15/26	39.21
05/15/26	38.56
05/15/26	38.24
